Мёд собран. Количество мёда: 15, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Медведя укусили пчёлы. Количество мёда: 15, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Мёд собран. Количество мёда: 16, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Медведя укусили пчёлы. Количество мёда: 16, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 17, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд украден. Количество мёда: 0, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Пчела становится охранником. Количество мёда: 1, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Мёд собран. Количество мёда: 2, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 3, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 4, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 4, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 5, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Мёд собран. Количество мёда: 6, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Мёд собран. Количество мёда: 7, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 8, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 8, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 9, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 10, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 11, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 12, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 13, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Мёд собран. Количество мёда: 14, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Пчела становится охранником. Количество мёда: 14, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Мёд собран. Количество мёда: 15, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Медведя укусили пчёлы. Количество мёда: 15, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Мёд собран. Количество мёда: 16, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Медведя укусили пчёлы. Количество мёда: 16, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 17, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд украден. Количество мёда: 0, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 0, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 1, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 2, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 2, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 3, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 3, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 4, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 4, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 4, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 5, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 5, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 6, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 6, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 7, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 8, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 8, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 9, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 9, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 10, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 10, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Мёд собран. Количество мёда: 11, Пчёл-сборщиков: 19, Пчёл-охранников: 1
Пчела становится охранником. Количество мёда: 11, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 11, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 12, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 12, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Мёд собран. Количество мёда: 13, Пчёл-сборщиков: 18, Пчёл-охранников: 2
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Пчела становится охранником. Количество мёда: 13, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Мёд собран. Количество мёда: 14, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Пчела становится охранником. Количество мёда: 14, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Мёд собран. Количество мёда: 15, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Медведя укусили пчёлы. Количество мёда: 15, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Пчела становится охранником. Количество мёда: 15, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Медведя укусили пчёлы. Количество мёда: 15, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Пчела становится охранником. Количество мёда: 15, Пчёл-сборщиков: 11, Пчёл-охранников: 9
Медведя укусили пчёлы. Количество мёда: 15, Пчёл-сборщиков: 11, Пчёл-охранников: 9
Пчела становится охранником. Количество мёда: 15, Пчёл-сборщиков: 10, Пчёл-охранников: 10
Медведя укусили пчёлы. Количество мёда: 15, Пчёл-сборщиков: 10, Пчёл-охранников: 10
Мёд собран. Количество мёда: 16, Пчёл-сборщиков: 11, Пчёл-охранников: 9
Медведя укусили пчёлы. Количество мёда: 16, Пчёл-сборщиков: 11, Пчёл-охранников: 9
Мёд собран. Количество мёда: 17, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Медведя укусили пчёлы. Количество мёда: 17, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Мёд собран. Количество мёда: 18, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Медведя укусили пчёлы. Количество мёда: 18, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Пчела становится охранником. Количество мёда: 18, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Медведя укусили пчёлы. Количество мёда: 18, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Мёд собран. Количество мёда: 19, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Медведя укусили пчёлы. Количество мёда: 19, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Пчела становится охранником. Количество мёда: 19, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Медведя укусили пчёлы. Количество мёда: 19, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Мёд собран. Количество мёда: 20, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Медведя укусили пчёлы. Количество мёда: 20, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Пчела становится охранником. Количество мёда: 20, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Медведя укусили пчёлы. Количество мёда: 20, Пчёл-сборщиков: 12, Пчёл-охранников: 8
Мёд собран. Количество мёда: 21, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Медведя укусили пчёлы. Количество мёда: 21, Пчёл-сборщиков: 13, Пчёл-охранников: 7
Мёд собран. Количество мёда: 22, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Медведя укусили пчёлы. Количество мёда: 22, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Мёд собран. Количество мёда: 23, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Медведя укусили пчёлы. Количество мёда: 23, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Пчела становится охранником. Количество мёда: 23, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Медведя укусили пчёлы. Количество мёда: 23, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Мёд собран. Количество мёда: 24, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Медведя укусили пчёлы. Количество мёда: 24, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Мёд собран. Количество мёда: 25, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Медведя укусили пчёлы. Количество мёда: 25, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Мёд собран. Количество мёда: 26, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Медведя укусили пчёлы. Количество мёда: 26, Пчёл-сборщиков: 17, Пчёл-охранников: 3
Пчела становится охранником. Количество мёда: 26, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Медведя укусили пчёлы. Количество мёда: 26, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Пчела становится охранником. Количество мёда: 26, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Медведя укусили пчёлы. Количество мёда: 26, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Мёд собран. Количество мёда: 27, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Медведя укусили пчёлы. Количество мёда: 27, Пчёл-сборщиков: 16, Пчёл-охранников: 4
Пчела становится охранником. Количество мёда: 27, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Медведя укусили пчёлы. Количество мёда: 27, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Пчела становится охранником. Количество мёда: 27, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Медведя укусили пчёлы. Количество мёда: 27, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Мёд собран. Количество мёда: 28, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Медведя укусили пчёлы. Количество мёда: 28, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Пчела становится охранником. Количество мёда: 28, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Медведя укусили пчёлы. Количество мёда: 28, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Мёд собран. Количество мёда: 29, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Медведя укусили пчёлы. Количество мёда: 29, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Пчела становится охранником. Количество мёда: 29, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Медведя укусили пчёлы. Количество мёда: 29, Пчёл-сборщиков: 14, Пчёл-охранников: 6
Мёд собран. Количество мёда: 30, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Медведя укусили пчёлы. Количество мёда: 30, Пчёл-сборщиков: 15, Пчёл-охранников: 5
Улей полон. Все пчёлы переходят к охране улья. Победа!
